eBird_name,
"Apteryx maxima","Apteryx haastii"
"Ortalis guttata","Ortalis guttata (Spix, 1825)"
"Xenoperdix udzungwensis obscuratus","Xenoperdix udzungwensis subsp. obscurata Fjeldså & Kiure, 2003"
"Aplopelia larvata inornata","Columba larvata subsp. inornata (Reichenow, 1892)"
"Aplopelia larvata principalis","Columba larvata subsp. principalis (Hartlaub, 1866)"
"Aplopelia larvata simplex","Columba larvata subsp. simplex (Hartlaub, 1849)"
"Aplopelia larvata larvata/bronzina","['Columba larvata subsp. larvata Sibley & Monroe, 1990','Columba larvata subsp. bronzina Rüppell, 1837']"
"Ducula rubricera rubricera","Ducula rubricera subsp. rubricera"
"Coua serriana","Coua serriana Pucheran, 1845"
"Centropus burchellii","Centropus superciliosus subsp. burchellii Swainson, 1838"
"Eudynamys melanorhynchus","Eudynamys scolopaceus subsp. melanorhynchus S.Muller, 1843"
"Chalcites lucidus harterti","Chrysococcyx lucidus subsp. harterti (Mayr, 1932)"
"Chalcites lucidus lucidus","Chrysococcyx lucidus subsp. lucidus (Gmelin, 1788)"
"Chalcites lucidus plagosus","Chrysococcyx lucidus subsp. plagosus (Latham, 1802)"
"Chalcites minutillus [minutillus Group]","['Chrysococcyx minutillus subsp. peninsularis S.A.Parker, 1981', 'Chrysococcyx minutillus subsp. albifrons (Junge, 1938)', 'Chrysococcyx minutillus subsp. cleis', 'Chrysococcyx minutillus subsp. minutillus', 'Chrysococcyx minutillus subsp. barnardi Mathews, 1912']"
"Chalcites minutillus [poecilurus Group]","['Chrysococcyx minutillus subsp. aheneus (Junge, 1938)', 'Chrysococcyx minutillus subsp. jungei (Stresemann, 1938)', 'Chrysococcyx minutillus subsp. misoriensis (Salvadori, 1876)', 'Chrysococcyx minutillus subsp. poecilurus G.R.Gray, 1862', 'Chrysococcyx minutillus subsp. russatus Gould, 1868', ]"
"Chalcites minutillus rufomerus/salvadorii","['Chrysococcyx minutillus subsp. rufomerus Hartert, 1900', 'Chrysococcyx minutillus subsp. salvadorii (Hartert, Ejo & Stresemann, 1925)']"
"Lurocalis semitorquatus nattereri","Lurocalis semitorquatus subsp. nattererii (Temminck, 1822)"
"Tepuiornis whitelyi","Setopagis whitelyi (Salvin, 1885)"
"Quechuavis decussata","Systellura decussata (Tschudi, 1844)"
"Antiurus maculicaudus","Hydropsalis maculicaudus (Lawrence, 1862)"
"Caprimulgus ritae",""
"Aegotheles terborghi","Aegotheles bennettii subsp. terborghi Diamond, 1967"
"Anthracothorax nigricollis nigricollis",""
"Pampa curvipennis pampa","Campylopterus curvipennis subsp. pampa (R.Lesson, 1832)"
"Ramosomyia viridifrons wagneri","Ramosomyia wagneri (A.R.Phillips, 1966)"
"Chrysuronia boucardi","Amazilia boucardi (Mulsant, 1877)"
"Gallirallus woodfordi tertius","Hypotaenidia woodfordi subsp. tertia (Mayr, 1949)"
"Gallirallus woodfordi immaculatus","Hypotaenidia woodfordi subsp. immaculata (Mayr, 1949)"
"Gallirallus woodfordi woodfordi","Hypotaenidia woodfordi subsp. woodfordi"
"Aramides cajaneus","Aramides cajanea (Statius Muller, 1776)"
"Amaurornis moluccana","Amaurornis moluccanus (Wallace, 1865)"
"Rufirallus schomburgkii","Micropygia schomburgkii (Cabanis, 1848)"
"Rufirallus fasciatus","Laterallus fasciatus (P.L.Sclater & Salvin, 1868)"
